numero;description
1;/ Les contenus accessibles sur le site Gallica sont pour la plupart des reproductions numériques d'oeuvres tombées dans le domaine public provenant des collections de la BnF. Leur réutilisation s'inscrit dans le cadre de la loi n°78-753 du 17 juillet 1978: - La réutilisation non commerciale de ces contenus ou dans le cadre d'une publication académique ou scientifique est libre et gratuite dans le respect de la législation en vigueur et notamment du maintien de la mention de source des contenus telle que précisée ci-après: « Source gallica.bnf.fr / Bibliothèque nationale de France » ou « Source gallica.bnf.fr / BnF ». - La réutilisation commerciale de ces contenus est payante et fait l'objet d'une licence. Est entendue par réutilisation commerciale la revente de contenus sous forme de produits élaborés ou de fourniture de service ou toute autre réutilisation des contenus générant directement des revenus: publication vendue (à l'exception des ouvrages académiques ou scientifiques), une exposition, une production audiovisuelle, un service ou un produit payant, un support à vocation promotionnelle etc. CLIQUER ICI POUR ACCÉDER AUX TARIFS ET À LA LICENCE
2;/ Les contenus de Gallica sont la propriété de la BnF au sens de l'article L.2112-1 du code général de la propriété des personnes publiques.
3;/ Quelques contenus sont soumis à un régime de réutilisation particulier. Il s'agit: - des reproductions de documents protégés par un droit d'auteur appartenant à un tiers. Ces documents ne peuvent être réutilisés, sauf dans le cadre de la copie privée, sans l'autorisation préalable du titulaire des droits. - des reproductions de documents conservés dans les bibliothèques ou autres institutions partenaires. Ceux-ci sont signalés par la mention Source gallica.BnF.fr / Bibliothèque municipale de... (ou autre partenaire). L'utilisateur est invité à s'informer auprès de ces bibliothèques de leurs conditions de réutilisation.
4;/ Gallica constitue une base de données, dont la BnF est le producteur, protégée au sens des articles L341-1 et suivants du code de la propriété intellectuelle.
5;/ Les présentes conditions d'utilisation des contenus de Gallica sont régies par la loi française. En cas de réutilisation prévue dans un autre pays, il appartient à chaque utilisateur de vérifier la conformité de son projet avec le droit de ce pays.
6;/ L'utilisateur s'engage à respecter les présentes conditions d'utilisation ainsi que la législation en vigueur, notamment en matière de propriété intellectuelle. En cas de non respect de ces dispositions, il est notamment passible d'une amende prévue par la loi du 17 juillet 1978.
7;"/ Pour obtenir un document de Gallica en haute définition, contacter utilisation.commerciale@bnf.fr. ![img-0.jpeg](img-0.jpeg) Source gallica.bnf.fr / Bibliothèque nationale de France ![img-1.jpeg](img-1.jpeg) ![img-2.jpeg](img-2.jpeg) J.SCHMITT 1967 ROLL 1899 anil 15 2 Declassification Authority RF 74365 ^{}[] Declassification Authority RF 74365 1 Declassification Authority RF 74365 ^{}[] Declassification Authority RF 74365 1 Declassification Authority RF 74365 ^{}[] Declassification Authority RF 74365 2 ROLL 1899 April 15 VENTE APRÈS DÉCÈS COLLECTION RÉ M. Alfred HARTMANN ![img-3.jpeg](img-3.jpeg) ANTIQUITÉS 1 VENTE APRÈS DÉCÈS Collection de M. Alfred HARTMANN CATALOGUE DES ANTIQUITÉS Poterie étrusque, grecque et romaine Terres cuites — Verrerie — Bronzes — Marbre Médailles grecques, romaines et byzantines DONT LA VENTE AURA LIEU HOTEL DROUOT, SALLES N°s 5 ET 6 Le Samedi 15 Avril 1899 à quatre heures EXPOSITIONS: SALLES N°s 5, 6, 7 ET 8 | PARTICULIÈRE | PUBLIQUE | | --- | --- | | Le Lundi 10 Avril 1899 | Le Mardi 11 Avril 1899 | de une heure et demie à cinq heures et demie Entrée par la rue Grange-Batellière M. G. COULON COMMISSAIRE-PRISQUE 12, rue de la Victoire, 12 M. G. DUCHESNE COMMISSAIRE-PRISQUE 6, rue de Henovre, 6 MM. C. ROLLIN et FEUARDENT EXPERTS 4, rue de Louvois, 4 1899 ROLL C899 AVR. 15 CE CATALOGUE SE DISTRIBUE à Paris, chez: | M^{e} G. COULON COMMISSAIRE-PRISEUR 12, rue de la Victoire, 12 | M^{e} G. DUCHESNE COMMISSAIRE-PRISEUR 6, rue de Hanovre, 6 | | --- | --- | MM. C. ROLLIN ET FEUARDENT EXPERTS 4, rue de Louvois, 4 CONDITIONS DE LA VENTE Elle sera faite au comptant. Les acquéreurs payeront cinq pour cent en plus du prix d'adjudication. # ANTIQUITÉS # POTERIE ÉTRUSQUE, GRECQUE ET ROMAINE 1 — Canthare étrusque en *bucchero* noir, sans décor autre qu'un rang de hachures sur l'arête qui entoure le bas de la coupe. Anses surélevées. Haut.: 0°,10. Diam.: 0°,146. — Aiguière étrusque en *bucchero* noir, le goulot trilobé. Haut.: 0°,14. 3 — Grande hydrie d'ancien style. — Tableau: Bacchus barbu, tourné à droite vers Mercure qui le précède en retournant la tête. Mercure tient son caducée et porte un chapeau blanc à larges bords pourpres; Bacchus, couronné de lierre, a ses attributs ordinaires: un canthare et un cep de vigne. Derrière ce groupe, deux Satyres dansant, dont l'un joue de la cithare; devant, une Bacchante dansant, tenant, elle aussi, un cep de vigne. Bordure de lierre. Sur le col: *Hercule* et *Iolaos* combattant l'hydre de Lerne. Derrière — 4 — Hercule, Minerve, sa protectrice; derrière Iolaos, Mercure, s'éloignant à grands pas. Sous le tableau, une frise de cinq cavaliers nus, tenant chacun deux lances. Trouvée en Étrurie. Hauteur: 0°,48. — Noir sur fond orangé; rehauts blanc et pourpre; détails gravés; graffite sous le pied. 4 — Grande hydrie à tableau. — Le tableau représente un char attelé de deux chevaux. Un homme nu et barbu est sur le point d'y monter; déjà il a saisi les guides; il porte son manteau, plié, sur l'épaule gauche. Au second plan, on voit l'aurige, debout à droite, vêtu d'un long chiton blanc, la barbe rouge. Un autre homme nu est placé devant les chevaux et les retient par les naseaux. Enfin, un cheval de course se trouve à côté du char, sous la garde d'un homme nu, à la barbe noire. L'épaule du vase est ornée d'un sujet mythologique: *Hercule conduisant Cerbère enchaîné*. Minerve et Iolaos marchent derrière Cerbère, qui n'a que deux têtes; Mercure le précède en se retournant, et, devant Mercure, une femme debout fait un geste d'étonnement. Le tableau principal est bordé de feuilles de lierre; dans le bas, il y a une frise d'animaux: deux lions et trois sangliers. Beau style archaïque et exécution très fine. — Graffite sous le pied. Trouvée en Étrurie. Noir sur jaune orangé; rehauts blancs et rouges. — Hauteur: 0°,45. 5 — Amphore dite tyrrhénienne. — Sur le devant: un guerrier (*Achille*) et son conducteur de char (*Automédon*) dans un quadrige tourné à droite. Vêtu d'un long chiton blanc, le conducteur tient les guides et l'aiguillon; Achille est armé de deux lances, d'une épée, d'un bouclier rond et d'un casque qui s'enfonce jusqu'aux épaules. Au revers: *Ajax rapportant du champ de bataille le corps d'Achille*, non encore dépouillé de ses armes. Le bouclier du mort a pour épiseme un grand masque de Silène en relief, la bouche ouverte. Ajax court vers la gauche, accompagné d'un chien; il est armé de deux lances, d'un bouclier béotien (*épisème*: masque de Phobos), et sa tête se dissimule sous un casque à cimier. Le vieillard, debout — 5 — devant le groupe, est le précepteur d'Achille, Phæniix; la femme, placée du côté opposé, est Briséis. Doubles palmettes sur le col; graffite sous le pied. Ancien style. Haut. 0*,414. — Noir sur fond orangé; rehauts blanc et pourpre; détails gravés. 6 — Amphore dite tyrrhénienne. — Face antérieure: Ajax portant sur son épaule le corps inanimé d'Achille. Devant, comme sur le n° 5, un vieillard, Phæniix, appuyé sur un bâton; derrière, un hoplite armé d'un bouclier rond (épisôme: un bucrâne) et, tourné à droite, un archer en costume phrygien, probablement Pâris. Un masque de Phobos entre deux serpents enroulés forme l'épisôme du bouclier béotien d'Ajax. Revers: L'Émigration d'Énée. La femme qui précède le cortège, avec un geste de désespoir, est Vénus. Énée porte sur son dos le vieil Anchise qui tient un bâton et retourne la tête en arrière; il est accompagné d'un chien et suivi d'un hoplite, le fidus Achates. Doubles palmettes sur le col du vase; graffite sous le pied. Ancien style. Haut. 0*,43. — Noir sur fond orangé; rehauts blanc et pourpre; détails gravés. 7 — Aiguière d'ancien style, à tableau. — Le tableau, peint sur fond blanc, a pour sujet Bacchus barbu, debout entre deux Satyres dansant. Vêtu d'une tunique salaire et d'un manteau, la tête couronnée de lierre, le dieu tient son canthare et un cep de vigne. Sous le pied, un graffite: TΔ (liés) 1B. — Fabrique dite de Locres. Peinture noire à rehauts pourpres. — Haut.: 0*,25."
8;"Lécythe. — Bacchus barbu, couché à gauche sur un lit de repos; derrière lui, un Satyre; devant, une Bacchante et un autre Satyre. — Décadence de l'ancien style. Noir sur fond rouge, rehauts pourpres. — Haut. 0*,24."
9;"Lécythe d'ancien style, représentant le Meurtre de Priam. — Un héros grec (Néoptolème), nu, barbu, le casque en tête, marche à grands pas vers la droite en tirant son épée du fourreau. Devant lui, on — 6 — voit l'autel de Jupiter herkeios, peint en blanc, et, sur cet autel, un vieillard drapé (Priam), au front chauve, est assis sur un pliant. — Dans le champ, branches de lierre, et, de chaque côté du tableau, deux palmettes. Haut.: 0°,242. — Noir et blanc sur fond rouge orangé; détails gravés."
10;"Lécythe à fond blanc. — Cavalier grec combattant un hoplite. L'hoplite porte un bouclier; le cavalier tient deux lances; leurs casques couvrent la tête tout entière, ne laissant apparaître que les yeux et la barbe. Ancien style; fabrique dite de Locres. Haut.: 0°,243. — Le tableau seul est peint en noir, sur fond blanc, avec rehauts rouges; l'épaule est ornée de palmettes noires sur fond rouge."
11;"Lécythe blanc. — Sujet (peint en noir): Bacchus barbu, allant à grands pas vers la droite, la tête tournée en arrière. Vêtu d'un chiton blanc brodé et d'un manteau, il tient un cep de vigne et un canthare (peint au trait). Il est suivi du bouc bachique et précédé d'un petit Silène qui joue de la double flûte. — Ancien style grec; fabrique dite de Locres. Haut.: 0°,235. — Sur l'épaule du vase, palmettes noires sur fond rouge."
12;"Petite coupe munie d'un couvercle. — Décor (noir sur rouge): sur le couvercle, un calice de fleur aux pétales allongés, le pistil remplacé par un bouton fait au tour; sur la coupe, une frise de Σ et un rang de folioles. — Ancien style. Diam.: 0°,055."
13;Cratère (oxybaphon). — Sur chaque face, trois palestrites drapés et couronnés de bandelettes pourpres. Deux s'appuient sur des bâtons noueux, un autre a la tête voilée. Haut.: 0°,265. — Figures rouges sur fond noir. — Palmettes sous les anses.
14;Même forme. — Sur le devant: un éphèbe, en costume de voyage, debout entre une femme qui lui présente une coupe et un homme âgé appuyé sur un bâton. Au revers, trois palestrites. Haut.: 0°,244. — Rouge sur noir. Couronne de laurier au-dessous de l'orifice. - 7 -
15;Ascos à goulot oblique, l'anse surélevée. — Sujet (rouge sur fond noir): lièvre poursuivi par un chien. — Beau style grec. Trouvé à Arsinoé de Chypre. Diam.: 0°,087.
16;Même forme et même style. — Sujet: Jeune Satyre nu, couché sur le sol, à plat ventre, et cherchant à se relever à la vue d'un sanglier qui fond sur lui. Sa main gauche repose sur un objet plat, peint en pourpre. Même provenance. Diam.: 0°,092.
17;"Canthare. — Panse surbaissée; vernis noir luisant; au sommet du piédouche, une moulure se détachant en noir sur deux bandeaux jaunes. — Campanie. Haut.: 0°,105. — Diam.: 0°,168."
18;Petit lécythe à vernis noir luisant. Panse godronnée et poinçonnée de petites palmettes. — Campanie. Haut.: 0°,113.
19;Aiguière à goulot trilobé. — Sujet: Hermaphrodite ailé, debout à droite devant une femme assise sur un rocher et lui présentant une couronne et un panier. La femme tient un plateau et une guirlande de fleurs. L'anse du vase, cannelée et surélevée, est amortie par deux jolis masques de femmes en relief. — Apulie. Rouge, blanc et jaune sur fond noir. — Haut.: 0°,29.
20;"Canthare. — Sur l'une des faces: Hermaphrodite ailé, assis à gauche sur un rocher et tenant une pyxis et une feuille de lierre; sur l'autre: une femme assise, avec miroir, coffret et éventail. Anses surélevées, amorties par deux feuilles d'acanthe et deux mascarons de femmes. Rouge, blanc et jaune sur fond noir. — Haut.: 0°,226. — 8 —"
21;"Belle hydrie cannelée et ornée de dorures. Le corps du vase est d'un galbe très pur, et les cannelures sont d'une finesse remarquable. A la base du col, un petit collier à pendentifs en relief doré; autour de l'orifice, une frise de godrons dorés; moulures d'or à la naissance des anses. Trouvée en Campanie. Haut.: 0°,40. — Vernis noir luisant."
22;"Aiguière cannelée, de forme très élégante. — Autour du col, une branche de lierre en fleur; anse à nervure, amortie, dans le haut, par une petite tête de lion en ronde bosse; embouchure tréflée. Les cannelures de la panse se présentent en deux frises séparées par un ruban qui a pour décor une ligne dentelée jaune entre deux ourlets blancs. Haut.: 0°,22. — Jaune et blanc sur fond noir."
23;"Tasse finement cannelée. Autour de l'orifice, deux branchettes de lierre en fleur; sur le pied, un grènetis; anses bifides et surélevées. — Apulie. Jaune et blanc sur fond noir. — Haut.: 0°,20. Diam.: 0°,107."
24;Tasse ornée, sur le devant, de pampres et de raisins. — Anses horizontales. — Apulie. Rouge, blanc et jaune sur fond noir. — Haut.: 0°,105.
25;Lampe romaine. — Cocher de cirque conduisant un bige au galop. — Poignée triangulaire ornée d'une feuille d'acanthe. Long.: 0°,155.
26-27;Deux lampes grecques trouvées à Éphèse en 1875. — Décor: palmette, rinceaux et rondelles. Long.: 0°,095 et 0°,115. # TERRES CUITES
28;Déesse d'ancien style, debout, coiffée d'un calathus, vêtue d'un chiton talaire à plastron, les bras pendants. Trouvée à Thèbes (Béotie). Haut.: 0°,235.
29;Grande figurine de femme drapée et voilée, tenant à sa main gauche abaissée un éventail en forme de feuille. Chiton bleu et blanc, manteau rouge, soulier jaune à semelle rouge, le coloris bien conservé. — Tanagra. Phototypie, pl. I. Haut.: 0°,33. — Base plate.
